Date,Close,High,Low,Open,Volume
2016-01-04,2180.474609375,2213.4496507266067,2168.1089688681473,2172.2308490370983,77479500
2016-01-05,2205.205810546875,2234.0589706848714,2176.3526504088786,2176.3526504088786,96609000
2016-01-06,2176.35302734375,2225.815596147017,2176.35302734375,2196.962431011778,105370000
2016-01-07,2143.377685546875,2168.1089665339546,2143.377685546875,2159.865206204928,146746500
2016-01-08,2143.377685546875,2159.865206204928,2135.1339252178486,2135.1339252178486,125820000
2016-01-11,2102.158935546875,2139.2558579388788,2102.158935546875,2135.1339776731006,75952000
2016-01-12,2159.86474609375,2180.474142525942,2126.8897118022423,2126.8897118022423,86093500
2016-01-13,2172.23046875,2192.839865986717,2168.1085893026566,2180.474227644687,76587000
2016-01-14,2147.49951171875,2168.1089120231527,2139.255751596989,2143.3776316578696,119213500
2016-01-15,2143.377685546875,2168.1089665339546,2143.377685546875,2159.865206204928,68326000
2016-01-18,2139.255859375,2159.8652607177264,2114.5245777637283,2118.6464580322736,81317000
2016-01-19,2155.743408203125,2159.865288524737,2135.1340065950644,2151.621527881513,54711000
2016-01-20,2147.49951171875,2155.743271840511,2139.255751596989,2143.3776316578696,75676000
2016-01-21,2135.1337890625,2151.6213086691605,2135.1337890625,2151.6213086691605,76938000
2016-01-22,2143.377685546875,2159.865206204928,2135.1339252178486,2151.6214458759014,71511000
2016-01-25,2163.9873046875,2180.4748270089285,2147.4997823660715,2176.3529464285716,56835500
2016-01-26,2143.377685546875,2168.1089665339546,2139.255805382362,2151.6214458759014,57143000
2016-01-27,2159.86474609375,2176.352263239504,2155.7428668073117,2159.86474609375,122278500
2016-01-28,2168.109130859375,2188.71853324397,2159.865369905537,2159.865369905537,126774000
2016-01-29,2159.86474609375,2180.474142525942,2139.255349661558,2176.352263239504,175698000
2016-02-01,2180.474609375,2180.474609375,2139.2558076854916,2159.8652085302456,89371000
2016-02-02,2159.86474609375,2180.474142525942,2155.7428668073117,2180.474142525942,96631000
2016-02-03,2151.621337890625,2159.865097805915,2139.2556980176905,2143.3775779753355,65229000
2016-02-04,2168.109130859375,2184.5966527670507,2143.377847997861,2143.377847997861,82874000
2016-02-05,2213.449951171875,2238.1812355425104,2159.8655017021647,2159.8655017021647,265133500
2016-02-09,2192.84033203125,2213.4497336480854,2176.352810737782,2209.327853324718,54516500
2016-02-10,2188.718505859375,2209.3279079861113,2184.596625434028,2184.596625434028,69001500
2016-02-11,2201.083984375,2234.05902533942,2176.3527036516857,2176.3527036516857,159586000
2016-02-12,2188.718505859375,2234.0591905381943,2184.596625434028,2205.206027560764,121062500
2016-02-15,2201.083984375,2217.5715048572097,2196.9621042544477,2209.327744616105,64452500
2016-02-16,2209.328125,2229.9375291511196,2196.9624825093283,2196.9624825093283,100538500
2016-02-17,2209.328125,2221.6937674906717,2201.0843633395525,2209.328125,76406500
2016-02-18,2209.328125,2238.181290811567,2209.328125,2225.8156483208954,146528500
2016-02-19,2151.621337890625,2192.840137467074,2131.0119381024006,2192.840137467074,147712000
2016-02-22,2172.23046875,2184.5961070920303,2143.3773126185956,2147.499192065939,55658000
2016-02-23,2159.86474609375,2188.7179010988193,2147.4991082344345,2176.352263239504,92492000
2016-02-24,2147.49951171875,2168.1089120231527,2122.768231353467,2147.49951171875,84799500
2016-02-25,2155.743408203125,2176.3528098111856,2147.499647559901,2159.865288524737,74008000
2016-02-26,2201.083984375,2225.8152650983147,2168.1089434105807,2168.1089434105807,141175000
2016-02-29,2221.693359375,2229.937119521104,2205.205839082792,2225.8152394480517,138837000
2016-03-01,2209.328125,2234.0594099813434,2201.0843633395525,2221.6937674906717,79590500
2016-03-02,2217.571533203125,2234.059053896085,2196.962132336925,2229.9371737228453,126069500
2016-03-03,2229.937255859375,2234.0591361844386,2213.4497345591208,2213.4497345591208,115057500
2016-03-04,2238.1806640625,2258.7900624424497,2229.93690471052,2242.30254373849,102347000
2016-03-07,2238.1806640625,2250.54630309047,2225.8150250345307,2242.30254373849,105623000
2016-03-08,2209.328125,2238.181290811567,2176.353078358209,2225.8156483208954,110122000
2016-03-10,2209.328125,2217.571886660448,2168.109316697761,2196.9624825093283,109073500
2016-03-11,2209.328125,2209.328125,2209.328125,2209.328125,0
2016-03-14,2209.328125,2209.328125,2209.328125,2209.328125,0
2016-03-15,2238.1806640625,2242.30254373849,2225.8150250345307,2238.1806640625,70072000
2016-03-16,2242.302734375,2246.4246144014246,2229.937094295726,2242.302734375,72058000
2016-03-17,2262.91259765625,2283.522002006489,2246.425074176059,2254.6688359161544,125371000
2016-03-18,2258.7900390625,2295.8869557624316,2234.058761262546,2250.5462797958485,120955000
2016-03-21,2271.15576171875,2291.7651606454174,2250.5463627920826,2258.7901223627496,46224000
2016-03-22,2250.546875,2267.034397893773,2238.1812328296705,2267.034397893773,47434000
2016-03-23,2225.815185546875,2250.5464653862846,2213.44954562717,2250.5464653862846,52128000
2016-03-24,2196.962158203125,2217.5715593119726,2184.596517537817,2209.3277988684335,73214500
2016-03-28,2172.23046875,2196.9617454340605,2151.6210715132825,2196.9617454340605,59829500
2016-03-29,2155.743408203125,2180.4746901327976,2155.743408203125,2172.2309294895736,88822500
2016-03-30,2163.9873046875,2217.571752232143,2163.9873046875,2163.9873046875,137086000
2016-03-31,2192.84033203125,2196.9622123546173,2172.230930414415,2188.718451707883,107951000
2016-04-01,2192.84033203125,2196.9622123546173,2176.352810737782,2192.84033203125,73802500
2016-04-04,2196.962158203125,2213.449679090203,2192.8402779813555,2213.449679090203,49630500
2016-04-05,2196.962158203125,2217.5715593119726,2192.8402779813555,2196.962158203125,83700500
2016-04-06,2151.621337890625,2213.4495372552983,2151.621337890625,2192.840137467074,89264000
2016-04-07,2159.86474609375,2184.5960218123805,2159.86474609375,2176.352263239504,101318500
2016-04-08,2155.743408203125,2176.3528098111856,2155.743408203125,2159.865288524737,70473500
2016-04-11,2155.743408203125,2155.743408203125,2155.743408203125,2155.743408203125,0
2016-04-12,2151.621337890625,2163.9869777635595,2139.2556980176905,2143.3775779753355,56727000
2016-04-13,2151.621337890625,2151.621337890625,2151.621337890625,2151.621337890625,0
2016-04-14,2151.621337890625,2151.621337890625,2151.621337890625,2151.621337890625,0
2016-04-15,2169.07421875,2169.07421875,2169.07421875,2169.07421875,0
2016-04-18,2169.07421875,2169.07421875,2169.07421875,2169.07421875,0
2016-04-19,2169.07421875,2169.07421875,2169.07421875,2169.07421875,0
2016-04-20,2177.384521484375,2185.695149428972,2160.763265595181,2164.91857956748,69313000
2016-04-21,2177.384521484375,2181.5398354566732,2160.763265595181,2177.384521484375,62586000
2016-04-22,2181.539306640625,2185.6946196056547,2169.073367745536,2177.3839936755953,39264000
2016-04-25,2177.384521484375,2181.5398354566732,2148.297323678286,2177.384521484375,62079000
2016-04-26,2152.45263671875,2169.073892600748,2123.3654389252533,2169.073892600748,129737500
2016-04-27,2169.07421875,2169.07421875,2148.2976457734676,2152.452960368774,64185500
2016-04-28,2164.91845703125,2189.8503394538748,2160.7631432941457,2181.5397119796667,68854000
2016-04-29,2169.07421875,2181.5401625359195,2160.763589559387,2164.9189041546933,61001500
2016-05-02,2177.384521484375,2181.5398354566732,2156.607951622883,2177.384521484375,26048000
2016-05-03,2169.07421875,2189.8507917265324,2164.9189041546933,2181.5401625359195,82224500
2016-05-04,2177.384521484375,2177.384521484375,2164.91857956748,2169.073893539778,75545000
2016-05-09,2181.539306640625,2194.0052455357145,2169.073367745536,2177.3839936755953,91446000
